Expense Name;Type;Project ID;Amount (€);Date;Vendor/Description;Status
Dinner Thursday 12-9-2024;Expense;;;;;Pending
Dinner Friday 13-9-2024;Expense;;;;;Pending
Taxi a Estacion Sants;Expense;;;;;Pending
Taxi to airport 27/5/2024;Expense;;;;;Pending
Diner 5-May Monday;Expense;;;;;Pending
cena glovo lunes 24.3;Expense;;;;;Pending
parking tickets 15€ + 9€ + 8€;Expense;;;;;Pending
Courier wrapping (box, tape and buble wrap));Expense;;;;;Pending
Cena dia 10;Expense;;;;;Pending
Taxi;Expense;;;;;Pending
Cena Glovo dia 18;Expense;;;;;Pending
Cena Viernes;Expense;;;;;Pending
Petrol BCN-Biarritz and return to VLC;Expense;;;;;Pending
Taxi out dia 26;Expense;;;;;Pending
Courier to BCN;Expense;;;;;Pending
Diner 4-may Sunday;Expense;;;;;Pending
taxi tren-hotel 23.3;Expense;;;;;Pending
TAXI IN;Expense;;;;;Pending
Parking;Expense;;;;;Pending
taxi hotel-aerop 21.3;Expense;;;;;Pending
cena hotel;Expense;;;;;Pending
Cena 3-7-2025 2 pax;Expense;;;;;Pending
Cena dia 28;Expense;;;;;Pending
Taxi home;Expense;;;;;Pending
Taxi to airport;Expense;;;;;Pending
Transporte Fondos;Expense;;;;;Pending
Petrol;Expense;;;;;Pending
taxi;Expense;;;;;Pending
Parking Ticket;Expense;;;;;Pending
Cena le room service dia 16;Expense;;;;;Pending
Cena dia 24;Expense;;;;;Pending
Cena glovo dia 17;Expense;;;;;Pending
Cena dia 25;Expense;;;;;Pending
Cena Miercoles;Expense;;;;;Pending
Food Hotel;Expense;;;;;Pending
cena 17.3 aerop. b.king;Expense;;;;;Pending
taxi out;Expense;;;;;Pending
Taxi in;Expense;;;;;Pending
Taxi dia 16 -est autobuses-hotel;Expense;;;;;Pending
Parking dia 9;Expense;;;;;Pending
Petrol vlc-denia and return;Expense;;;;;Pending
Parking dia 10;Expense;;;;;Pending
Cena dia 9/6;Expense;;;;;Pending
Taxi dia 19 Hotel - barcelona Nord;Expense;;;;;Pending
Taxi dia 18 hotel-pto. Encuentro;Expense;;;;;Pending
taxi aerop-hotel 17.3;Expense;;;;;Pending
Taxi a estudio;Expense;;;;;Pending
Taxi G7 in;Expense;;;;;Pending
dinner allowance;Expense;;;;;Pending
Cena dia 2/3/2025;Expense;;;;;Pending
Cena dia 26;Expense;;;;;Pending
taxi in;Expense;;;;;Pending
cena martes 25.3;Expense;;;;;Pending
Transporte 75km+return;Expense;;;;;Pending
Parking vehiculo con material 1 noche;Expense;;;;;Pending
Cena dia 3/3/2025 Room service;Expense;;;;;Pending
Cena Jueves;Expense;;;;;Pending
cena glovo domingo 23.3;Expense;;;;;Pending
Taxi out;Expense;;;;;Pending
Dinner allowance;Expense;;;;;Pending
Dinner;Expense;;;;;Pending
Taxi Out;Expense;;;;;Pending
Taxi- Soportados;Expense;;;;;Pending
Taxi dia 1, aeropuerto-Hotel;Expense;;;;;Pending
Taxi in;Expense;;;;;Pending
Taxi llegada dia 24;Expense;;;;;Pending
Note: Fill in Project ID if this expense is associated with a specific project;Expense;;;;;Pending
